tells_all,half_half,keeps_dist,tells_third,y
0,0,0,0,0.573399176
0,0,0,0,0.515564817
0,0,0,0,0.166409148
0,0,0,0,0.930959687
0,0,0,0,0.572723718
0,0,0,0,0.548249811
0,0,0,0,0.88304011
0,0,0,0,0.995079087
0,0,0,0,0.734017285
0,0,0,0,0.402150768
0,0,0,0,0.86968647
0,0,0,0,0.665987003
0,1,0,0,0.269672606
0,1,0,0,0.053564642
0,1,0,0,0.248634786
0,1,0,0,0.344673384
0,1,0,0,0.475423414
0,1,0,0,0.340216281
0,1,1,1,0.49558384
0,1,1,1,0.027521053
0,1,1,1,0.279789858
0,1,1,1,0.805322112
0,1,1,1,0.476997658
0,1,1,1,0.968971151
1,0,0,0,1.159500829
1,0,0,0,1.506969573
1,0,0,0,0.943416724
1,0,0,1,0.906295906
1,0,0,1,0.810069745
1,0,0,1,1.130393926
1,1,0,1,0.908555042
1,1,0,1,1.30482611
1,1,0,1,0.819478006
1,1,1,1,1.156054185
1,1,1,1,1.208323463
1,1,1,1,1.625394257
